name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
PopTorch,,https://docs.graphcore.ai/projects/poptorch-user-guide/en/latest/,logos/941ac64f6b2ec287a2dfc558c637747c9af0d2acdcf5e6148bdbfc5e2f8a81d5.svg,,,,,,,,,"PopTorch is a set of extensions for PyTorch enabling models to be trained, evaluated and used on the Graphcore IPU.",,,,,,,,,,,,Optimizations,Compilers & Runtimes,,,,,,,,,,,,,,,,,,,,,,,,
Poutyne,,https://poutyne.org/,logos/a291fe1f4346bc027619c3baebe8eccb7043cece79f64e2582a80056699faa44.svg,,,,,,,,,Poutyne is a simplified framework for PyTorch and handles much of the boilerplating code needed to train neural networks.,,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
PyKale,,https://pykale.github.io/,logos/1514ccbb316a3ae5a772df0cb382bd6917c12793cc8174f0699d4fb19d1acec0.svg,,,,,,,,,"PyKale has a unified pipeline-based API and focuses on multimodal learning and transfer learning for graphs, images, and videos at the moment, with supporting models on deep learning and dimensionality reduction.",,,,,,,,,,,,Training,Multimodal,,,,,,,,,,,,,,,,,,,,,,,,
PyPose,,https://pypose.org/,logos/8513a8257efd437369eb631ace0e7514cfdce3e6297154043bc263c67f49d128.svg,,,,,,,,,PyPose is a library for Robot Learning with Physics-based Optimization,,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
PyPOTS,,https://pypots.com/,logos/9b443ae59bd33bdee86bbe1d3190c727ce938845d8696ac8e76bd7c662c822a2.svg,,,,,,,,,a Python toolbox for machine learning on Partially-Observed Time Series,,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
Pyro,,https://pyro.ai/,logos/ed7e2a4d5d7f216c73dc8d10febb6720c12b706bd262296605f82b5f01801d60.svg,,,,,,,,,Deep universal probabilistic programming with Python and PyTorch,,,,,,,,,,,,Training,Probabilistic & Optimization,,,,,,,,,,,,,,,,,,,,,,,,
pystiche,,https://github.com/pystiche/pystiche,logos/b024259eacdf1948a9a6dcc2b94a9d67df1e249789ac8d44c6d822e4e7d0cdae.svg,,,,,,,,,Framework for Neural Style Transfer (NST) built upon PyTorch,,,,,,,,,,,,Modeling,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
PySyft,,https://www.openmined.org/,logos/ddcdd70695dcc0780072851c60375522b8a616c35ffdec80717cf32b87d21310.svg,,,,,,,,,Perform data science on data that remains in someone else's server,,,,,,,,,,,,Training,Privacy,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Geometric,,https://pyg.org/,logos/5bf81a10e91e5b5336f31c52500e47e02dc3c860f3d66c7b4936161107dc12c9.svg,,,,,,,,,Graph Neural Network Library for PyTorch,,,,,,,,,,,,Training,Graph,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Geometric Temporal,,https://github.com/benedekrozemberczki/pytorch_geometric_temporal,logos/e178f77ad4a1b8ba7fa3e617cc445a8b47c1dd88a61972330752cc7ee6dbdd21.svg,,,,,,,,,PyTorch Geometric Temporal is a Spatiotemporal Signal Processing with Neural Machine Learning Models,,,,,,,,,,,,Training,Graph,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Lightning,,https://lightning.ai/,logos/3e3486bfb4e2fa782678a99e6da800be65f30c9c9f887ef4131bfe7634797187.svg,,,,,,,,,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",,,,,,,,,,,,Training,General,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Metric Learning,,https://kevinmusgrave.github.io/pytorch-metric-learning/,logos/64fe0aa1a6facd5730cee30d3904885e90f56c6cc79d9f9edda241ecf4585ff7.svg,,,,,,,,,"Modular, flexible, and extensible library for deep metric learning.",,,,,,,,,,,,Training,Self supervised,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch-NLP,,https://pytorchnlp.readthedocs.io/en/latest/,logos/49a408722c78586e14156d60f6d32160a69da86afea96b933f3084dc4157c133.svg,,,,,,,,,Basic Utilities for PyTorch Natural Language Processing (NLP),,,,,,,,,,,,Modeling,Language,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch-Points3d,,https://torch-points3d.readthedocs.io/en/latest/,logos/7c3c77c9fbd88d4dae1e9d32ef70b0b115ad578cacb4f90dda36f4aaefc4cc0d.svg,,,,,,,,,A framework for developing and testing common deep learning models to solve tasks related to unstructured 3D spatial data,,,,,,,,,,,,Modeling,3D,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch3D,,https://pytorch3d.org/,logos/88318438fc9c2bbc4989daf11182ed9ec9e685c4f9f97317d978d87f732f9e96.svg,,,,,,,,,PyTorch3D is a library of reusable components for deep learning with 3D data,,,,,,,,,,,,Modeling,3D,,,,,,,,,,,,,,,,,,,,,,,,
pytorchfi,,https://pytorchfi.dev/,logos/4940f3cf2023e817b489c95cca20b0effbac6407db28e7f6eabe7cd4177aa5e5.svg,,,,,,,,,A runtime fault injection tool for PyTorch,,,,,,,,,,,,Modeling,Adversarial & Robustness,,,,,,,,,,,,,,,,,,,,,,,,
PyTorchVideo,,https://pytorchvideo.org/,logos/ad52117a8e14a31993e1549cd32f76e6d4ddb403826679eee528774a7404729a.svg,,,,,,,,,A deep learning library for video understanding research.,,,,,,,,,,,,Modeling,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
