name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
ColossalAI,,https://www.colossalai.org/,logos/2125379104f8c98deea6e3dd3e0b2af88238792c2f41420624c1a142642c69ca.svg,,,,,,,,,Tools to kickstart distributed training and inference,,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
composer,,http://docs.mosaicml.com/,logos/23206110f1d95753c27e1ebe4c63c6bc2c3b86060c4b332516cd9a3931f1900f.svg,,,,,,,,,"A open-source deep learning training library optimized for scalability and usability, integrating best practices for efficient, multi-node training",,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
DeepSpeed,,https://www.deepspeed.ai/,logos/6a721f2f0c7a39901db79faf3d4307b17472c558462574a3ad699666f4d0e3f3.svg,,,,,,,,,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
Depyf,,https://depyf.readthedocs.io/en/latest/,logos/e4a063d36b8096ad076ac1c71881f1be4ccc0a18433cd7541d08de40f2c3370f.svg,,,,,,,,,depyf is a tool to help you understand debug and get insights into pytorch.compile,,,,,,,,,,,,Cross-cutting Tools,Debugging and Profiling,,,,,,,,,,,,,,,,,,,,,,,,
Determined,,https://determined.ai/,logos/6f06ce54ac2345f4d76475807a8d81d20d4f6d8f1f017ac591fb22f312ef329c.svg,,,,,,,,,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",,,,,,,,,,,,MLOps and Experiment Management,Experiment Management and MLOps,,,,,,,,,,,,,,,,,,,,,,,,
DGL,,https://www.dgl.ai/,logos/8bc26a2c13a583b1695caeee24b08ead02adb0d16645e0d2763ea37305fae388.svg,,,,,,,,,"Python package built to ease deep learning on graph, on top of existing DL frameworks.  Fast and memory-efficient message passing primitives for training Graph Neural Networks.",,,,,,,,,,,,Specialized Domains,Graph Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,
Diffusers,,https://huggingface.co/docs/diffusers/index,logos/ffc8bf3d4d9c6e89044e907ea8b49195426ef764da054041f80845be8605c48e.svg,,,,,,,,,"Pretrained diffusion models for generating images, audio, and even 3D structures of molecules. Whether you are looking for a simple inference solution or want to train your own diffusion model, Diffusers is a modular toolbox that supports both",,,,,,,,,,,,Specialized Domains,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
einops,,https://einops.rocks/,logos/b5a90edf576208a5d90039a11703e94d01d4d4941c3bb98702a13de77d0cbec3.svg,,,,,,,,,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)",,,,,,,,,,,,Cross-cutting Tools,Tensor and Mathematical Operations,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble-Pytorch,,https://ensemble-pytorch.readthedocs.io/,logos/1a5daa080e0d4c6242967eeac5734b744501e8d1bfe8a1f86e4305047a928ef0.svg,,,,,,,,,unified ensemble framework for PyTorch to improve the performance and robustness of your ensemble based deep learning model,,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Ensemble Methods,,,,,,,,,,,,,,,,,,,,,,,,
fastai,,https://docs.fast.ai/,logos/9b1d9cefe662d9c4a595cbe44fddc8c2d31a2390f6ac3ac0ae025a8c878a53ce.svg,,,,,,,,,"fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains, and provides researchers with low-level components that can be mixed and matched to build new approaches",,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
Flair,,https://github.com/flairNLP/flair,logos/79bb5140f6e438d44b09dbd2bde4ba675f11bb1e19b84e74b0ada9b16c0b034a.svg,,,,,,,,,"Flair allows you to apply our state-of-the-art natural language processing (NLP) models to your text, such as named entity recognition (NER), sentiment analysis, part-of-speech tagging (PoS), special support for biomedical texts, sense disambiguation and classification, with support for a rapidly growing number of languages",,,,,,,,,,,,Specialized Domains,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
Flower,,https://flower.ai/,logos/af4acf3f0922e8bb18cd7439136d299b7c8ddd7c5b8e7574bb31c17c6b4450b1.svg,,,,,,,,,"A unified approach to federated learning, analytics, and evaluation. Federate any workload, any ML framework, and any programming language",,,,,,,,,,,,Advanced Learning Paradigms,Federated Learning and Privacy,,,,,,,,,,,,,,,,,,,,,,,,
FuseMedML,,https://pytorch.org/ecosystem/,logos/bed2d7b1ea133092432cc28a1d20d3314098a2c30624894f1bad0ed7162fa03d.svg,,,,,,,,,A python framework accelerating ML based discovery in the medical field by encouraging code reuse,,,,,,,,,,,,Specialized Domains,Medical Imaging and Healthcare,,,,,,,,,,,,,,,,,,,,,,,,
GaNDLF,,https://www.nature.com/articles/s44172-023-00066-3,logos/2c684fbc52871399018ed1bbd4eb4558cf380b37f789128ab453063f072a1377.svg,,,,,,,,,"The Generally Nuanced Deep Learning Framework (GaNDLF) for image segmentation and classification, especially in the biomedical field.",,,,,,,,,,,,Specialized Domains,Medical Imaging and Healthcare,,,,,,,,,,,,,,,,,,,,,,,,
GPyTorch,,https://arxiv.org/abs/1809.11165,logos/edd7c89043cddc740dd6ccd3746aee9f57a590b76e93440eff93fb7272c3f4ce.svg,,,,,,,,,"GPyTorch is a Gaussian process library implemented using PyTorch. GPyTorch is designed for creating scalable, flexible, and modular Gaussian process models with ease",,,,,,,,,,,,Specialized Domains,Gaussian Process,,,,,,,,,,,,,,,,,,,,,,,,
Horovod,,http://horovod.ai/,logos/a6f46dcbeb116393f35638875cc39a90f61ebc28453af34bf89ce3185da131ae.svg,,,,,,,,,"Horovod is a distributed deep learning training framework for TensorFlow, Keras, PyTorch, and Apache MXNet",,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
Ignite,,https://pytorch-ignite.ai/,logos/35bb1388cfcd432baba2f56afef9724cf9bbeca68724e9adcb4232272ad8309f.svg,,,,,,,,,High-level library to help with training and evaluating neural networks in PyTorch,,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
intel-extension-for-pytorch,,https://intel.github.io/intel-extension-for-pytorch/,logos/149058a8b3c96359ac2f000c8958b4899897602728d52d917f9335d1e0273617.svg,,,,,,,,,A Python extension to optimize performance on an Intel platform.,,,,,,,,,,,,Cross-cutting Tools,Hardware Optimization,,,,,,,,,,,,,,,,,,,,,,,,
ivy,,https://ivy.dev/,logos/4ac7177a12ab6aa7b56c2420367cbe3b6e1be0de2f9753d69198f5ca9a7731bb.svg,,,,,,,,,Convert Machine Learning Code Between Frameworks,,,,,,,,,,,,Cross-cutting Tools,Framework Interoperability,,,,,,,,,,,,,,,,,,,,,,,,
joeynmt,,https://joeynmt.readthedocs.io/en/latest/#,logos/817179366550e656ee07a69f74369f9b49b23e815c2d4c3d5a092fbf4318dbc9.svg,,,,,,,,,JoeyNMT is a minimalist neural machine translation toolkit for educational purposes.,,,,,,,,,,,,Specialized Domains,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
Kornia,,https://kornia.github.io/,logos/68d50512b8d058f5ae4c92b0fdb1a54132e0b208cb573c1b84bb19e7a2cabd4c.svg,,,,,,,,,Kornia is a geometric computer vision Library for spatial AI library that allows classical computer vision to be integrated into deep learning models.,,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
Lightly,,https://docs.lightly.ai/self-supervised-learning/,logos/5135c80fa8aeb01b5a93eb51f1c869d3e920e89759d25f423e0edb513df1fd02.svg,,,,,,,,,LightlySSL is a computer vision framework for self-supervised learning.,,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
ludwig,,https://ludwig.ai/latest/,logos/6e299a3f1f6df294a97064d136dd13a8078ec5ccc3d9cfdf4f3f57faf17e4b3b.svg,,,,,,,,,Ludwig is a low-code framework for building custom AI models like LLMs and other deep neural networks.,,,,,,,,,,,,MLOps and Experiment Management,Experiment Management and MLOps,,,,,,,,,,,,,,,,,,,,,,,,
MMF,,https://mmf.sh/,logos/0c6791d31524bbcc5d00788ef39db3ff6576fdd3d3b1f8cea530d5c551e9098f.svg,,,,,,,,,A modular framework for vision & language multimodal research.,,,,,,,,,,,,Advanced Learning Paradigms,Multi-modal Learning,,,,,,,,,,,,,,,,,,,,,,,,
MONAI,,https://monai.io/,logos/05c4cdff595fa70e0ca8175384c2fbe4efc7c321437d8fd14bd6f13a9671fb74.svg,,,,,,,,,AI Toolkit for Healthcare Imaging,,,,,,,,,,,,Specialized Domains,Medical Imaging and Healthcare,,,,,,,,,,,,,,,,,,,,,,,,
NeMo,,https://docs.nvidia.com/nemo-framework/user-guide/latest/overview.html,logos/28338dbf8ea96d2f14e1e737ecab8f55ada4616e445a10a89f0cb2c019ee8f14.svg,,,,,,,,,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",,,,,,,,,,,,Specialized Domains,Speech and Audio Processing,,,,,,,,,,,,,,,,,,,,,,,,
neural-compressor,,https://intel.github.io/neural-compressor/latest/docs/source/Welcome.html,logos/ba40986b1563b5634522df1bb286e54e543fea3a4ce7e5d0f72c2de633c074f5.svg,,,,,,,,,An open-source Python library supporting popular model compression techniques on all deep learning frameworks.,,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Compression and Optimization,,,,,,,,,,,,,,,,,,,,,,,,
OctoML Profiler,,https://github.com/octoml/octoml-profile,logos/6a0430bf99ada8d6b9a2f7c296d8719bd6d5081f40036783c1ee51c58ae73217.svg,,,,,,,,,octoml-profile is a python library and cloud service that enables ML engineers to easily assess the performance and cost of PyTorch models on cloud hardware with state-of-the-art ML acceleration technology.,,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Compression and Optimization,,,,,,,,,,,,,,,,,,,,,,,,
ONNX runtime,,https://onnxruntime.ai/,logos/a2ab7ad7ece050a1a7e0e667813b6992c1abc606d2112dd11c8c84836b5ba522.svg,,,,,,,,,High performance ML inferencing and training accelerator,,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Compression and Optimization,,,,,,,,,,,,,,,,,,,,,,,,
Opacus,,https://opacus.ai/,logos/93e7f58529785d31148daadf57a83ea2c2f8a5881b6825df426596b79b6954ad.svg,,,,,,,,,Train PyTorch models with Differential Privacy,,,,,,,,,,,,Advanced Learning Paradigms,Federated Learning and Privacy,,,,,,,,,,,,,,,,,,,,,,,,
OpenCompass,,https://opencompass.org.cn/home,logos/7a70f2cbec75cbed6adfa360674d53e5fd6536ee1b342b52588a3dbd35ef8860.svg,,,,,,,,,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Evaluation and Metrics,,,,,,,,,,,,,,,,,,,,,,,,
OpenMMLab,,https://openmmlab.com/,logos/4efdc7f99d6658760637db639f854554798b6fac64d661903c68e7728e5014ba.svg,,,,,,,,,Open-source computer vision algorithms and models.,,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
Optuna,,https://optuna.org/,logos/221ccf5311fc9739ea42133e7727c4e1e3bbdb761fee27e5f71434e93ea35740.svg,,,,,,,,,"Optuna is an automatic hyperparameter optimization software framework, particularly designed for machine learning.",,,,,,,,,,,,MLOps and Experiment Management,Experiment Management and MLOps,,,,,,,,,,,,,,,,,,,,,,,,
PennyLane,,https://pennylane.ai/,logos/2d8e7a169283e296f1d72aad881717481147608ecb440ecb9b92b3c078ce197f.svg,,,,,,,,,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Train a quantum computer the same way as a neural network.",,,,,,,,,,,,Specialized Domains,Quantum Computing,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,,https://pomegranate.readthedocs.io/en/latest/,logos/ebf8effc430934c78a17464087fe36856c0dfe2c390f3e278beac637efb264e0.svg,,,,,,,,,pomegranate is a Python package that implements fast and flexible probabilistic models ranging from individual probability distributions to compositional models such as Bayesian networks and hidden Markov models,,,,,,,,,,,,Cross-cutting Tools,Probabilistic Modeling,,,,,,,,,,,,,,,,,,,,,,,,
PopTorch,,https://docs.graphcore.ai/projects/poptorch-user-guide/en/latest/,logos/941ac64f6b2ec287a2dfc558c637747c9af0d2acdcf5e6148bdbfc5e2f8a81d5.svg,,,,,,,,,"PopTorch is a set of extensions for PyTorch enabling models to be trained, evaluated and used on the Graphcore IPU.",,,,,,,,,,,,Cross-cutting Tools,Hardware Optimization,,,,,,,,,,,,,,,,,,,,,,,,
PyKale,,https://pykale.github.io/,logos/1514ccbb316a3ae5a772df0cb382bd6917c12793cc8174f0699d4fb19d1acec0.svg,,,,,,,,,"PyKale has a unified pipeline-based API and focuses on multimodal learning and transfer learning for graphs, images, and videos at the moment, with supporting models on deep learning and dimensionality reduction.",,,,,,,,,,,,Advanced Learning Paradigms,Model Distillation and Transfer Learning,,,,,,,,,,,,,,,,,,,,,,,,
PyPose,,https://pypose.org/,logos/8513a8257efd437369eb631ace0e7514cfdce3e6297154043bc263c67f49d128.svg,,,,,,,,,PyPose is a library for Robot Learning with Physics-based Optimization,,,,,,,,,,,,Specialized Domains,Robotics and 3D,,,,,,,,,,,,,,,,,,,,,,,,
PyPOTS,,https://pypots.com/,logos/9b443ae59bd33bdee86bbe1d3190c727ce938845d8696ac8e76bd7c662c822a2.svg,,,,,,,,,a Python toolbox for machine learning on Partially-Observed Time Series,,,,,,,,,,,,Specialized Domains,Time Series Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Pyro,,https://pyro.ai/,logos/ed7e2a4d5d7f216c73dc8d10febb6720c12b706bd262296605f82b5f01801d60.svg,,,,,,,,,Deep universal probabilistic programming with Python and PyTorch,,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Probalistic Programming,,,,,,,,,,,,,,,,,,,,,,,,
PySyft,,https://www.openmined.org/,logos/ddcdd70695dcc0780072851c60375522b8a616c35ffdec80717cf32b87d21310.svg,,,,,,,,,Perform data science on data that remains in someone else's server,,,,,,,,,,,,Advanced Learning Paradigms,Federated Learning and Privacy,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Geometric,,https://pyg.org/,logos/5bf81a10e91e5b5336f31c52500e47e02dc3c860f3d66c7b4936161107dc12c9.svg,,,,,,,,,Graph Neural Network Library for PyTorch,,,,,,,,,,,,Specialized Domains,Graph Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Lightning,,https://lightning.ai/,logos/9ea7a73b721cef9519fd2ac3cc48b9dd167e210bda4ce34ae8c8984d9ad28ebd.svg,,,,,,,,,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Metric Learning,,https://kevinmusgrave.github.io/pytorch-metric-learning/,logos/64fe0aa1a6facd5730cee30d3904885e90f56c6cc79d9f9edda241ecf4585ff7.svg,,,,,,,,,"Modular, flexible, and extensible library for deep metric learning.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Metric Learning,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch3D,,https://pytorch3d.org/,logos/88318438fc9c2bbc4989daf11182ed9ec9e685c4f9f97317d978d87f732f9e96.svg,,,,,,,,,PyTorch3D is a library of reusable components for deep learning with 3D data,,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
raster-vision,,https://docs.rastervision.io/,logos/7f48d1f43ed40f3c3dda9f013919d00e801e756dabb5def767474c58f08cf117.svg,,,,,,,,,"Raster Vision is an open source library and framework for Python developers building computer vision models on satellite, aerial, and other large imagery sets (including oblique drone imagery). There is built-in support for chip classification, object detection, and semantic segmentation using PyTorch.",,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
Ray,,https://github.com/ray-project/ray,logos/3975c0f455d00dfab6b5c78281eb7c5dd6ffcf105bcc8c78764eb09a5ed534a6.svg,,,,,,,,,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,,,,,,,,,,,,MLOps and Experiment Management,Experiment Management and MLOps,,,,,,,,,,,,,,,,,,,,,,,,
Renate,,https://renate.readthedocs.io/en/latest/,logos/e9fb21ed75b6d1f586d07a501eb6f349489335f0bbc79c436f625b5f0e753577.svg,,,,,,,,,Renate is a Python package for automatic retraining of neural networks models. It uses advanced Continual Learning and Lifelong Learning algorithms to achieve this purpose.,,,,,,,,,,,,Advanced Learning Paradigms,Continual Learning,,,,,,,,,,,,,,,,,,,,,,,,
SimulAI,,https://ibm.github.io/simulai/,logos/52d2378814907baeac4813eba9000d2ac5fb8a804f9c7a621b96003bdc3738e2.svg,,,,,,,,,A toolkit with data-driven pipelines for physics-informed machine learning.,,,,,,,,,,,,Cross-cutting Tools,Physics-Informed Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,
skorch,,https://github.com/skorch-dev/skorch,logos/5fd4c8f1c65f2f5281e64ebe6b8e82bca7b16608042672804f452b8d8f2b1d98.svg,,,,,,,,,A scikit-learn compatible neural network library that wraps PyTorch.,,,,,,,,,,,,Cross-cutting Tools,Framework Interoperability,,,,,,,,,,,,,,,,,,,,,,,,
Stable Baselines3,,https://stable-baselines3.readthedocs.io/,logos/a0f8f03828e020f203be7c6c0e19ccab88e2fe89feeaad3d517c79033bae9edf.svg,,,,,,,,,Stable Baselines3 (SB3) is a set of implementations of reinforcement learning algorithms,,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,
Substra,,https://docs.substra.org/,logos/57e63c3a4288f965a164da315553b98b67b369bbee4e6d9a24cdfd6cb43bc380.svg,,,,,,,,,Substra is used to run complex federated learning experiments at scale.,,,,,,,,,,,,Advanced Learning Paradigms,Federated Learning and Privacy,,,,,,,,,,,,,,,,,,,,,,,,
TensorLy,,http://tensorly.org/,logos/d4d2be7563e5a626bf144163697a53e71a99556dc4fdeb8b614bdc7a24793a6e.svg,,,,,,,,,"TensorLy is a Python library that aims at making tensor learning simple and accessible. It allows to easily perform tensor decomposition, tensor learning and tensor algebra. Its backend system allows to seamlessly perform computation with NumPy, PyTorch, JAX, TensorFlow, CuPy or Paddle, and run methods at scale on CPU or GPU.",,,,,,,,,,,,Cross-cutting Tools,Tensor and Mathematical Operations,,,,,,,,,,,,,,,,,,,,,,,,
TIAToolbox,,https://warwick.ac.uk/fac/cross_fac/tia/,logos/ba4859ff6d65b65bc3b5e1a48fdffcb34c3d0ff8435c11eb1f1aac0120c1224d.svg,,,,,,,,,TIAToolbox is a computational pathology toolbox for pathology image analysis.,,,,,,,,,,,,Specialized Domains,Medical Imaging and Healthcare,,,,,,,,,,,,,,,,,,,,,,,,
Torch-TensorRT,,https://pytorch.org/TensorRT/,logos/07dbeb39c385db2b246f1fb02d2534f65455facf03f6249afc3eaf34baaddfc1.svg,,,,,,,,,"Torch-TensorRT is a inference compiler for PyTorch, targeting NVIDIA GPUs via NVIDIA’s TensorRT Deep Learning Optimizer and Runtime.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Deep Learning Frameworks and Extensions,,,,,,,,,,,,,,,,,,,,,,,,
torchdistill,,https://yoshitomo-matsubara.net/torchdistill/,logos/00e6cd8399a844be633526e835a2bff2a35c27c464134204177f96b484d0b393.svg,,,,,,,,,Offers various state-of-the-art knowledge distillation methods and enables you to design (new) experiments simply by editing a declarative yaml config file.,,,,,,,,,,,,Advanced Learning Paradigms,Model Distillation and Transfer Learning,,,,,,,,,,,,,,,,,,,,,,,,
torchgeo,,https://www.osgeo.org/projects/torchgeo/,logos/0f021d5c7b0d805439d23e941b0a743d16b7cf89fa11b5cc9c19a53d44549420.svg,,,,,,,,,"TorchGeo is a toolkit containing datasets, samplers, transforms, and pre-trained models for geospatial data.",,,,,,,,,,,,Specialized Domains,Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,
TorchIO,,http://www.torchio.org/,logos/3f53485d82e837e49ad8c2f5b2ca860ac321809c9d7a50f6f4029c49911a158f.svg,,,,,,,,,Medical imaging toolkit for deep learning,,,,,,,,,,,,Specialized Domains,Medical Imaging and Healthcare,,,,,,,,,,,,,,,,,,,,,,,,
TorchMetrics,,https://lightning.ai/docs/torchmetrics/,logos/fe7ab2ceb03b0c3b20725bb4810500052a76b2285265de910812dfa0abbbdf6c.svg,,,,,,,,,"Machine learning metrics for distributed, scalable PyTorch applications.",,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Evaluation and Metrics,,,,,,,,,,,,,,,,,,,,,,,,
Torchopt,,https://torchopt.readthedocs.io/en/latest/,logos/fa7428c96683f978432a500f84b389bd2f5a07cb9738885282a728a9015c5cfd.svg,,,,,,,,,An efficient library for differentiable optimization built upon PyTorch,,,,,,,,,,,,Core Machine Learning and Deep Learning,Model Compression and Optimization,,,,,,,,,,,,,,,,,,,,,,,,
TorchQuantum,,https://hanruiwanghw.wixsite.com/torchquantum,logos/eba8a1f3cf2a73d23a295af0b6e67dcb61560ca1630acae2f929fea8cd863b90.svg,,,,,,,,,"A framework for Quantum Classical Simulation, Quantum Machine Learning, Quantum Neural Networks, Parameterized Quantum Circuits with support for easy deployments on real quantum computers.",,,,,,,,,,,,Specialized Domains,Quantum Computing,,,,,,,,,,,,,,,,,,,,,,,,
Transformers,,https://huggingface.co/transformers,logos/22ee2a64b64ec10d3f8665a2c99fe71389da44d177ce9688632c462e8627224b.svg,,,,,,,,,"Transformers provides thousands of pretrained models to perform tasks on different modalities such as text, vision, and audio.",,,,,,,,,,,,Specialized Domains,Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,
USB,,https://usb.readthedocs.io/en/main/,logos/ba2f979d55cfe3b448250c198b2c08437accb672f3f21600f0b3c979a399c9e7.svg,,,,,,,,,"Benchmark tool for developing and evaluating Semi-suprevised learning algorithms.  Includes an implementation of 14 SSL algorithms and 15 tasks for evaluation for CV, NLP, and Audio",,,,,,,,,,,,Core Machine Learning and Deep Learning,Machine Learning Tasks Semi-Supervised Learning,,,,,,,,,,,,,,,,,,,,,,,,
