name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
ONNX runtime,,https://onnxruntime.ai/,logos/a2ab7ad7ece050a1a7e0e667813b6992c1abc606d2112dd11c8c84836b5ba522.svg,,,,,,,,,High performance ML inferencing and training accelerator,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Opacus,,https://opacus.ai/,logos/93e7f58529785d31148daadf57a83ea2c2f8a5881b6825df426596b79b6954ad.svg,,,,,,,,,Train PyTorch models with Differential Privacy,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
OpenCompass,,https://opencompass.org.cn/home,logos/7a70f2cbec75cbed6adfa360674d53e5fd6536ee1b342b52588a3dbd35ef8860.svg,,,,,,,,,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
OpenMMLab,,https://openmmlab.com/,logos/4efdc7f99d6658760637db639f854554798b6fac64d661903c68e7728e5014ba.svg,,,,,,,,,Open-source computer vision algorithms and models.,,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
Optuna,,https://optuna.org/,logos/221ccf5311fc9739ea42133e7727c4e1e3bbdb761fee27e5f71434e93ea35740.svg,,,,,,,,,"Optuna is an automatic hyperparameter optimization software framework, particularly designed for machine learning.",,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
PennyLane,,https://pennylane.ai/,logos/2d8e7a169283e296f1d72aad881717481147608ecb440ecb9b92b3c078ce197f.svg,,,,,,,,,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Train a quantum computer the same way as a neural network.",,,,,,,,,,,,Model,Quantum Computing,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,,https://pomegranate.readthedocs.io/en/latest/,logos/ebf8effc430934c78a17464087fe36856c0dfe2c390f3e278beac637efb264e0.svg,,,,,,,,,pomegranate is a Python package that implements fast and flexible probabilistic models ranging from individual probability distributions to compositional models such as Bayesian networks and hidden Markov models,,,,,,,,,,,,Model,Probabilistic Models,,,,,,,,,,,,,,,,,,,,,,,,
PopTorch,,https://docs.graphcore.ai/projects/poptorch-user-guide/en/latest/,logos/941ac64f6b2ec287a2dfc558c637747c9af0d2acdcf5e6148bdbfc5e2f8a81d5.svg,,,,,,,,,"PopTorch is a set of extensions for PyTorch enabling models to be trained, evaluated and used on the Graphcore IPU.",,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
PyKale,,https://pykale.github.io/,logos/1514ccbb316a3ae5a772df0cb382bd6917c12793cc8174f0699d4fb19d1acec0.svg,,,,,,,,,"PyKale has a unified pipeline-based API and focuses on multimodal learning and transfer learning for graphs, images, and videos at the moment, with supporting models on deep learning and dimensionality reduction.",,,,,,,,,,,,Model,Transfer Learning,,,,,,,,,,,,,,,,,,,,,,,,
PyPose,,https://pypose.org/,logos/8513a8257efd437369eb631ace0e7514cfdce3e6297154043bc263c67f49d128.svg,,,,,,,,,PyPose is a library for Robot Learning with Physics-based Optimization,,,,,,,,,,,,Model,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
PyPOTS,,https://pypots.com/,logos/9b443ae59bd33bdee86bbe1d3190c727ce938845d8696ac8e76bd7c662c822a2.svg,,,,,,,,,a Python toolbox for machine learning on Partially-Observed Time Series,,,,,,,,,,,,Model,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
Pyro,,https://pyro.ai/,logos/ed7e2a4d5d7f216c73dc8d10febb6720c12b706bd262296605f82b5f01801d60.svg,,,,,,,,,Deep universal probabilistic programming with Python and PyTorch,,,,,,,,,,,,Model,Probabilistic Models,,,,,,,,,,,,,,,,,,,,,,,,
PySyft,,https://www.openmined.org/,logos/ddcdd70695dcc0780072851c60375522b8a616c35ffdec80717cf32b87d21310.svg,,,,,,,,,Perform data science on data that remains in someone else's server,,,,,,,,,,,,Distributed Computing,Parallelization tools,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Geometric,,https://pyg.org/,logos/5bf81a10e91e5b5336f31c52500e47e02dc3c860f3d66c7b4936161107dc12c9.svg,,,,,,,,,Graph Neural Network Library for PyTorch,,,,,,,,,,,,Model,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Lightning,,https://lightning.ai/,logos/9ea7a73b721cef9519fd2ac3cc48b9dd167e210bda4ce34ae8c8984d9ad28ebd.svg,,,,,,,,,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch Metric Learning,,https://kevinmusgrave.github.io/pytorch-metric-learning/,logos/64fe0aa1a6facd5730cee30d3904885e90f56c6cc79d9f9edda241ecf4585ff7.svg,,,,,,,,,"Modular, flexible, and extensible library for deep metric learning.",,,,,,,,,,,,Model,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch3D,,https://pytorch3d.org/,logos/88318438fc9c2bbc4989daf11182ed9ec9e685c4f9f97317d978d87f732f9e96.svg,,,,,,,,,PyTorch3D is a library of reusable components for deep learning with 3D data,,,,,,,,,,,,Model,Computer vision,,,,,,,,,,,,,,,,,,,,,,,,
raster-vision,,https://docs.rastervision.io/,logos/7f48d1f43ed40f3c3dda9f013919d00e801e756dabb5def767474c58f08cf117.svg,,,,,,,,,"Raster Vision is an open source library and framework for Python developers building computer vision models on satellite, aerial, and other large imagery sets (including oblique drone imagery). There is built-in support for chip classification, object detection, and semantic segmentation using PyTorch.",,,,,,,,,,,,Model,Geospatial,,,,,,,,,,,,,,,,,,,,,,,,
Ray,,https://github.com/ray-project/ray,logos/3975c0f455d00dfab6b5c78281eb7c5dd6ffcf105bcc8c78764eb09a5ed534a6.svg,,,,,,,,,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
Renate,,https://renate.readthedocs.io/en/latest/,logos/e9fb21ed75b6d1f586d07a501eb6f349489335f0bbc79c436f625b5f0e753577.svg,,,,,,,,,Renate is a Python package for automatic retraining of neural networks models. It uses advanced Continual Learning and Lifelong Learning algorithms to achieve this purpose.,,,,,,,,,,,,Model,Continuous Learning,,,,,,,,,,,,,,,,,,,,,,,,
SimulAI,,https://ibm.github.io/simulai/,logos/52d2378814907baeac4813eba9000d2ac5fb8a804f9c7a621b96003bdc3738e2.svg,,,,,,,,,A toolkit with data-driven pipelines for physics-informed machine learning.,,,,,,,,,,,,Model,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
skorch,,https://github.com/skorch-dev/skorch,logos/5fd4c8f1c65f2f5281e64ebe6b8e82bca7b16608042672804f452b8d8f2b1d98.svg,,,,,,,,,A scikit-learn compatible neural network library that wraps PyTorch.,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Stable Baselines3,,https://stable-baselines3.readthedocs.io/,logos/a0f8f03828e020f203be7c6c0e19ccab88e2fe89feeaad3d517c79033bae9edf.svg,,,,,,,,,Stable Baselines3 (SB3) is a set of implementations of reinforcement learning algorithms,,,,,,,,,,,,Model,Pretrained Models,,,,,,,,,,,,,,,,,,,,,,,,
Substra,,https://docs.substra.org/,logos/57e63c3a4288f965a164da315553b98b67b369bbee4e6d9a24cdfd6cb43bc380.svg,,,,,,,,,Substra is used to run complex federated learning experiments at scale.,,,,,,,,,,,,Distributed Computing,Federated learning,,,,,,,,,,,,,,,,,,,,,,,,
TensorLy,,http://tensorly.org/,logos/d4d2be7563e5a626bf144163697a53e71a99556dc4fdeb8b614bdc7a24793a6e.svg,,,,,,,,,"TensorLy is a Python library that aims at making tensor learning simple and accessible. It allows to easily perform tensor decomposition, tensor learning and tensor algebra. Its backend system allows to seamlessly perform computation with NumPy, PyTorch, JAX, TensorFlow, CuPy or Paddle, and run methods at scale on CPU or GPU.",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
TIAToolbox,,https://warwick.ac.uk/fac/cross_fac/tia/,logos/ba4859ff6d65b65bc3b5e1a48fdffcb34c3d0ff8435c11eb1f1aac0120c1224d.svg,,,,,,,,,TIAToolbox is a computational pathology toolbox for pathology image analysis.,,,,,,,,,,,,Model,Biomedical,,,,,,,,,,,,,,,,,,,,,,,,
Torch-TensorRT,,https://pytorch.org/TensorRT/,logos/07dbeb39c385db2b246f1fb02d2534f65455facf03f6249afc3eaf34baaddfc1.svg,,,,,,,,,"Torch-TensorRT is a inference compiler for PyTorch, targeting NVIDIA GPUs via NVIDIA’s TensorRT Deep Learning Optimizer and Runtime.",,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
torchdistill,,https://yoshitomo-matsubara.net/torchdistill/,logos/00e6cd8399a844be633526e835a2bff2a35c27c464134204177f96b484d0b393.svg,,,,,,,,,Offers various state-of-the-art knowledge distillation methods and enables you to design (new) experiments simply by editing a declarative yaml config file.,,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
torchgeo,,https://www.osgeo.org/projects/torchgeo/,logos/0f021d5c7b0d805439d23e941b0a743d16b7cf89fa11b5cc9c19a53d44549420.svg,,,,,,,,,"TorchGeo is a toolkit containing datasets, samplers, transforms, and pre-trained models for geospatial data.",,,,,,,,,,,,Model,Geospatial,,,,,,,,,,,,,,,,,,,,,,,,
TorchIO,,http://www.torchio.org/,logos/3f53485d82e837e49ad8c2f5b2ca860ac321809c9d7a50f6f4029c49911a158f.svg,,,,,,,,,Medical imaging toolkit for deep learning,,,,,,,,,,,,Model,Biomedical,,,,,,,,,,,,,,,,,,,,,,,,
TorchMetrics,,https://lightning.ai/docs/torchmetrics/,logos/fe7ab2ceb03b0c3b20725bb4810500052a76b2285265de910812dfa0abbbdf6c.svg,,,,,,,,,"Machine learning metrics for distributed, scalable PyTorch applications.",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Torchopt,,https://torchopt.readthedocs.io/en/latest/,logos/fa7428c96683f978432a500f84b389bd2f5a07cb9738885282a728a9015c5cfd.svg,,,,,,,,,An efficient library for differentiable optimization built upon PyTorch,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
TorchQuantum,,https://hanruiwanghw.wixsite.com/torchquantum,logos/eba8a1f3cf2a73d23a295af0b6e67dcb61560ca1630acae2f929fea8cd863b90.svg,,,,,,,,,"A framework for Quantum Classical Simulation, Quantum Machine Learning, Quantum Neural Networks, Parameterized Quantum Circuits with support for easy deployments on real quantum computers.",,,,,,,,,,,,Model,Quantum Computing,,,,,,,,,,,,,,,,,,,,,,,,
Transformers,,https://huggingface.co/transformers,logos/22ee2a64b64ec10d3f8665a2c99fe71389da44d177ce9688632c462e8627224b.svg,,,,,,,,,"Transformers provides thousands of pretrained models to perform tasks on different modalities such as text, vision, and audio.",,,,,,,,,,,,Model,Pretrained Models,,,,,,,,,,,,,,,,,,,,,,,,
USB,,https://usb.readthedocs.io/en/main/,logos/ba2f979d55cfe3b448250c198b2c08437accb672f3f21600f0b3c979a399c9e7.svg,,,,,,,,,"Benchmark tool for developing and evaluating Semi-suprevised learning algorithms.  Includes an implementation of 14 SSL algorithms and 15 tasks for evaluation for CV, NLP, and Audio",,,,,,,,,,,,Distributed Computing,Training and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,
Zeus,,https://ml.energy/zeus/,logos/88fe3408a97b0da3dfbd5328126047c69b1627ea7655a2379de2169c0dc701c2.svg,,,,,,,,,Zeus is a library for measuring the energy consumption of Deep Learning workloads and optimizing their energy consumption.,,,,,,,,,,,,Distributed Computing,Performance optimization,,,,,,,,,,,,,,,,,,,,,,,,
